         1406056 function calls (1399906 primitive calls) in 3.679 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11276    0.015    0.000    0.015    0.000 {built-in method numpy.empty}
        6    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.000    0.000 {built-in method scipy.sparse._sparsetools.coo_tocsr}
        1    0.000    0.000    0.000    0.000 {built-in method scipy.sparse._sparsetools.csc_minus_csc}
        1    0.000    0.000    0.000    0.000 {built-in method scipy.sparse._sparsetools.csc_tocsr}
        1    0.000    0.000    0.000    0.000 {built-in method scipy.sparse._sparsetools.csr_has_sorted_indices}
        1    0.001    0.001    0.001    0.001 {built-in method scipy.sparse._sparsetools.csr_plus_csr}
     5120    0.879    0.000    0.879    0.000 {built-in method scipy.sparse._sparsetools.csr_sample_offsets}
     1020    0.118    0.000    0.118    0.000 {built-in method scipy.sparse._sparsetools.csr_sort_indices}
        2    0.001    0.000    0.001    0.000 {built-in method scipy.sparse._sparsetools.csr_tocsc}
     3072    0.036    0.000    0.036    0.000 {built-in method scipy.sparse._sparsetools.expandptr}
     3072    0.507    0.000    0.507    0.000 {built-in method scipy.sparse._sparsetools.get_csr_submatrix}
    11239    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     3060    0.005    0.000    0.005    0.000 {method 'argsort' of 'numpy.ndarray' objects}
     6155    0.005    0.000    0.005    0.000 {method 'astype' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1021    0.092    0.000    0.092    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
     2041    0.002    0.000    0.002    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     1020    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
     6144    0.003    0.000    0.003    0.000 {method 'indices' of 'slice' objects}
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
    14338    0.007    0.000    0.254    0.000 {method 'max' of 'numpy.ndarray' objects}
    14338    0.005    0.000    0.222    0.000 {method 'min' of 'numpy.ndarray' objects}
     7176    0.004    0.000    0.004    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
     2048    0.002    0.000    0.002    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
    17409    0.007    0.000    0.007    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
    28677    0.455    0.000    0.455    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2048    0.004    0.000    0.004    0.000 {method 'reduceat' of 'numpy.ufunc' objects}
     3076    0.005    0.000    0.005    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    12296    0.004    0.000    0.004    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
     3060    0.003    0.000    0.003    0.000 {method 'take' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 {scipy.sparse._csparsetools.lil_fancy_set}
        2    0.001    0.001    0.001    0.001 {scipy.sparse._csparsetools.lil_flatten_to_array}
        1    0.001    0.001    0.001    0.001 {scipy.sparse._csparsetools.lil_get_lengths}


